"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
1160,8,7,7,6,9,9,9,9,9,9,8,9,7,8,"English","No","Not employed","Bachelor's degree","Living common law","Male",NA,"$20000 to $29999",1,"Yes","8","7","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
1161,7,3,9,8,7,9,8,9,8,9,9,9,6,5,"French","No","Employed part-time","No certificate, diploma or degree","Living common law","Female","24 or younger","$30000 to $39999",0,"No","7","3","Strongly Agree","8","7","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
1162,9,9,8,8,9,8,9,9,9,9,9,9,9,9,"English","No","Employed part-time",NA,"Single, never married, not living with a life partner","Male","55 to 64","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1163,9,6,7,9,9,7,9,9,9,9,9,9,9,9,"Spanish","No","Not employed","No certificate, diploma or degree","Married","Male","55 to 64","$175,000 to $199,999,",1,"Yes","Strongly Agree","6","7","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1164,9,8,7,9,9,9,9,8,6,9,8,9,9,9,"English","No","Employed part-time","Master's degree","Single, never married, not living with a life partner","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","6","Strongly Agree","8","Strongly Agree"
1165,8,8,9,9,6,7,5,7,6,8,6,6,7,5,"English","No","Not employed","No certificate, diploma or degree","Married","Female","75 to 84","$50000 to $59999",0,"No","8","8","Strongly Agree","Strongly Agree","6","7","5","7","6","8","6","6"
1166,8,9,8,8,9,8,9,8,9,5,7,5,8,6,"Italian","No","Not employed","Earned doctorate","Living common law",NA,"65 to 74","$80000 to $89999",1,"Yes","8","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","8","Strongly Agree","5","7","5"
1167,8,4,5,5,5,5,3,9,9,8,8,8,7,6,"English","No","Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Male","45 to 54","$20000 to $29999",0,"No","8","4","5","5","5","5","3","Strongly Agree","Strongly Agree","8","8","8"
1168,9,8,7,9,8,9,6,9,9,7,8,9,9,7,"English","No","Employed part-time","No certificate, diploma or degree","Single, never married, not living with a life partner","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","7","Strongly Agree","8","Strongly Agree","6","Strongly Agree","Strongly Agree","7","8","Strongly Agree"
1169,9,8,6,6,9,9,9,9,9,9,9,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Female",NA,"$30000 to $39999",0,"No","Strongly Agree","8","6","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1170,8,8,8,8,9,9,7,6,9,9,9,9,8,8,"English","No","Fully employed","Bachelor's degree","Separated, not living with a life partner","Female","24 or younger","$80000 to $89999",1,"Yes","8","8","8","8","Strongly Agree","Strongly Agree","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1171,9,7,9,9,7,5,7,8,9,9,9,9,9,7,"English","No","Fully employed","High school diploma or certificate","Married","Male","75 to 84","$30000 to $39999",1,"Yes","Strongly Agree","7","Strongly Agree","Strongly Agree","7","5","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1172,7,6,8,7,7,7,7,5,8,7,8,9,9,5,"Spanish","No","Not employed","Bachelor's degree","Married","Male","75 to 84","$30000 to $39999",1,"Yes","7","6","8","7","7","7","7","5","8","7","8","Strongly Agree"
1173,8,4,5,5,9,8,7,9,9,9,9,6,9,7,"English","No","Employed part-time","No certificate, diploma or degree","Single, never married, not living with a life partner","Female","65 to 74","$20000 to $29999",0,"No","8","4","5","5","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6"
1174,7,4,6,6,8,7,7,9,9,9,9,9,9,5,"English","No","Not employed","Bachelor's degree","Married","Female","55 to 64","$40000 to $49999",1,"Yes","7","4","6","6","8","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1175,9,8,9,6,8,7,5,9,8,9,7,9,9,8,"English",NA,"Fully employed","No certificate, diploma or degree","Married","Male","75 to 84","$90000 to $99999",1,"Yes","Strongly Agree","8","Strongly Agree","6","8","7","5","Strongly Agree","8","Strongly Agree","7","Strongly Agree"
1176,9,7,9,7,9,8,9,7,8,5,7,9,9,6,"English","No","Not employed","College diploma",NA,"Female","55 to 64","$40000 to $49999",0,"No","Strongly Agree","7","Strongly Agree","7","Strongly Agree","8","Strongly Agree","7","8","5","7","Strongly Agree"
1177,5,8,7,7,9,7,9,9,8,8,8,9,9,7,"French","No","Fully employed","Bachelor's degree",NA,"Female","55 to 64","$40000 to $49999",1,"Yes","5","8","7","7","Strongly Agree","7","Strongly Agree","Strongly Agree","8","8","8","Strongly Agree"
1178,9,8,8,7,9,8,7,9,8,7,7,7,9,7,"English","No",NA,"No certificate, diploma or degree","Widowed","Male","35 to 44","$50000 to $59999",0,"No","Strongly Agree","8","8","7","Strongly Agree","8","7","Strongly Agree","8","7","7","7"
1179,9,9,7,6,7,7,9,5,9,9,9,9,8,8,"English","No","Fully employed","Bachelor's degree","Married",NA,"45 to 54","$30000 to $39999",0,"No","Strongly Agree","Strongly Agree","7","6","7","7","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1180,9,8,7,7,8,9,4,6,8,9,8,5,8,7,"English","No",NA,"Bachelor's degree",NA,"Male","85 to 94","$60000 to $69999",0,"No","Strongly Agree","8","7","7","8","Strongly Agree","4","6","8","Strongly Agree","8","5"
1181,9,6,5,6,9,6,6,4,7,9,8,7,9,5,"English","Yes","Fully employed","Bachelor's degree","Married","Male","45 to 54","$50000 to $59999",0,"No","Strongly Agree","6","5","6","Strongly Agree","6","6","4","7","Strongly Agree","8","7"
1182,9,9,9,9,9,8,8,9,9,9,9,9,9,9,"Spanish","No","Not employed","High school diploma or certificate","Divorced, not living with a life partner",NA,"24 or younger","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1183,9,8,9,7,9,7,5,5,9,9,8,6,8,9,"English","Yes","Employed part-time","High school diploma or certificate","Living common law","Male","24 or younger","$30000 to $39999",0,"No","Strongly Agree","8","Strongly Agree","7","Strongly Agree","7","5","5","Strongly Agree","Strongly Agree","8","6"
1184,7,6,8,3,7,8,9,9,9,9,9,9,7,5,"English","No","Not employed","Bachelor's degree","Living common law","Male","35 to 44","$150,000 to $174,999",1,"Yes","7","6","8","3","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1185,5,3,3,4,8,9,9,8,9,9,8,9,7,5,NA,"No",NA,"College diploma","Married","Female","25 to 34","$60000 to $69999",1,"Yes","5","3","3","4","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree"
1186,9,7,7,8,8,7,8,9,9,9,9,9,9,8,"French","No","Not employed","College diploma",NA,"Female","55 to 64","$40000 to $49999",1,"Yes","Strongly Agree","7","7","8","8","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1187,9,8,8,6,5,8,7,8,9,8,9,9,5,4,"English","Yes",NA,"trades certificate","Widowed","Female","75 to 84","$70000 to $79999",0,"No","Strongly Agree","8","8","6","5","8","7","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
1188,9,9,8,6,7,6,7,9,8,9,7,7,8,7,"English","No","Fully employed","High school diploma or certificate","Married","Female","65 to 74","$60000 to $69999",0,"No","Strongly Agree","Strongly Agree","8","6","7","6","7","Strongly Agree","8","Strongly Agree","7","7"
1189,9,7,9,8,8,8,8,9,9,9,9,9,9,7,"English","Yes","Fully employed","Bachelor's degree","Married","Female","55 to 64","$150,000 to $174,999",1,"Yes","Strongly Agree","7","Strongly Agree","8","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1190,9,9,8,7,9,7,8,9,9,8,9,9,6,8,"Spanish","No",NA,"High school diploma or certificate","Married","Female","55 to 64","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","7","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1191,9,7,9,8,9,9,9,9,6,8,9,9,7,9,"French","Yes","Not employed","College diploma",NA,"Male","75 to 84","$80000 to $89999",1,"Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","8","Strongly Agree","Strongly Agree"
1192,8,7,4,7,6,8,5,7,9,8,5,7,6,7,"English",NA,"Fully employed","Master's degree","Living common law","Female","25 to 34","$30000 to $39999",0,"No","8","7","4","7","6","8","5","7","Strongly Agree","8","5","7"
1193,8,9,9,9,6,5,6,2,9,9,8,8,6,7,"Italian","No","Not employed","Master's degree","Married","Male","24 or younger","$20000 to $29999",0,"No","8","Strongly Agree","Strongly Agree","Strongly Agree","6","5","6","2","Strongly Agree","Strongly Agree","8","8"
1194,9,9,8,7,7,6,8,9,8,7,9,7,7,9,"English","Yes","Fully employed","College diploma",NA,"Female","35 to 44","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","8","7","7","6","8","Strongly Agree","8","7","Strongly Agree","7"
1195,8,8,8,5,7,7,9,8,8,8,8,7,4,4,"Spanish","No","Fully employed","trades certificate","Single, never married, not living with a life partner","Female","35 to 44","Less than $20,000",0,"No","8","8","8","5","7","7","Strongly Agree","8","8","8","8","7"
1196,9,5,9,8,7,5,8,8,9,9,9,9,9,5,"Spanish","No","Not employed","High school diploma or certificate","Living common law",NA,"55 to 64","$30000 to $39999",0,"No","Strongly Agree","5","Strongly Agree","8","7","5","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1197,9,3,7,7,9,9,9,6,7,9,8,9,9,8,"English",NA,"Not employed","Bachelor's degree","Married","Male","24 or younger",NA,1,"Yes","Strongly Agree","3","7","7","Strongly Agree","Strongly Agree","Strongly Agree","6","7","Strongly Agree","8","Strongly Agree"
1198,9,8,7,5,9,5,6,9,7,9,6,9,5,7,NA,"Yes","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","7","5","Strongly Agree","5","6","Strongly Agree","7","Strongly Agree","6","Strongly Agree"
1199,9,8,8,8,9,9,9,9,9,8,9,8,9,7,"English","No","Fully employed","No certificate, diploma or degree","Divorced, not living with a life partner","Female","35 to 44",NA,1,"Yes","Strongly Agree","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8"
1200,9,9,8,9,9,9,9,9,9,9,9,9,9,9,"French","No","Not employed","High school diploma or certificate","Married","Male","24 or younger","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1201,8,9,4,5,8,7,9,7,7,8,9,8,9,9,"English","No",NA,"High school diploma or certificate","Living common law","Male","65 to 74",NA,0,"No","8","Strongly Agree","4","5","8","7","Strongly Agree","7","7","8","Strongly Agree","8"
1202,9,8,9,9,9,9,8,9,9,9,9,9,9,8,"Spanish","No","Employed part-time","High school diploma or certificate","Married",NA,"25 to 34","$100000 to $149999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1203,8,8,8,7,9,9,9,9,9,7,7,4,8,7,"English","No","Fully employed","High school diploma or certificate","Married","Male","24 or younger","$175,000 to $199,999,",1,"Yes","8","8","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","7","4"
1204,6,6,4,6,4,5,4,5,9,9,7,9,8,1,"Spanish",NA,"Employed part-time","College diploma","Living common law",NA,"65 to 74","$100000 to $149999",0,"No","6","6","4","6","4","5","4","5","Strongly Agree","Strongly Agree","7","Strongly Agree"
1205,6,9,9,8,7,5,7,9,9,8,9,9,9,6,"French","Yes","Employed part-time","College diploma","Single, never married, not living with a life partner","Male","35 to 44","$50000 to $59999",1,"Yes","6","Strongly Agree","Strongly Agree","8","7","5","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
1206,8,8,9,8,9,9,9,9,9,9,9,9,9,9,"English","Yes","Employed part-time","College diploma","Married","Female","25 to 34","$50000 to $59999",1,"Yes","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1207,9,7,7,7,9,9,9,9,9,9,9,9,9,9,"English","No","Not employed","University certificate below bachelor level","Living common law","Male","35 to 44","$80000 to $89999",1,"Yes","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1208,8,8,8,7,9,7,8,9,8,9,9,9,9,6,"English","No","Employed part-time","College diploma","Married","Female","55 to 64","$150,000 to $174,999",1,"Yes","8","8","8","7","Strongly Agree","7","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
1209,9,7,9,8,9,7,8,7,8,8,9,6,9,9,"Spanish","No","Fully employed","High school diploma or certificate","Married","Male","85 to 94","$30000 to $39999",1,"Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","7","8","7","8","8","Strongly Agree","6"
1210,8,5,9,9,9,9,9,8,9,8,8,9,7,8,"English","No","Employed part-time","College diploma","Married","Male","85 to 94","$60000 to $69999",1,"Yes","8","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","8","Strongly Agree"
1211,9,7,9,6,8,7,5,8,9,7,9,7,9,8,"English","No","Fully employed","Medical degree","Married","Female","24 or younger","$30000 to $39999",0,"No","Strongly Agree","7","Strongly Agree","6","8","7","5","8","Strongly Agree","7","Strongly Agree","7"
1212,5,4,6,6,7,7,5,8,6,6,5,6,6,7,"English","No","Fully employed","No certificate, diploma or degree","Married","Male","65 to 74","$80000 to $89999",1,"Yes","5","4","6","6","7","7","5","8","6","6","5","6"
1213,8,6,5,4,5,8,6,6,9,6,8,8,7,5,"Italian","No",NA,"University certificate below bachelor level","Single, never married, not living with a life partner","Female","75 to 84","$150,000 to $174,999",0,"No","8","6","5","4","5","8","6","6","Strongly Agree","6","8","8"
1214,9,9,7,8,8,8,9,9,9,9,9,9,9,9,"English","No","Fully employed","trades certificate","Separated, not living with a life partner","Male","24 or younger","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","7","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1215,8,8,6,8,9,9,9,9,9,9,8,7,9,7,"English","Yes","Not employed",NA,"Single, never married, not living with a life partner","Male","45 to 54","$60000 to $69999",1,"Yes","8","8","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","7"
1216,7,5,7,7,7,9,9,9,9,9,9,9,9,6,"English","No","Not employed","Bachelor's degree","Married","Male","35 to 44","$40000 to $49999",1,"Yes","7","5","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1217,9,6,8,5,9,9,9,9,7,8,9,9,9,8,"English","No","Not employed","No certificate, diploma or degree","Married","Male","65 to 74","$50000 to $59999",1,"Yes","Strongly Agree","6","8","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree"
1218,9,5,8,8,8,9,9,9,9,9,9,9,6,5,"Spanish","No","Fully employed","College diploma",NA,"Male","65 to 74","$30000 to $39999",0,"No","Strongly Agree","5","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1219,8,9,5,8,9,8,8,7,9,9,9,9,9,7,NA,"No",NA,"No certificate, diploma or degree","Married","Male","45 to 54","$100000 to $149999",0,"No","8","Strongly Agree","5","8","Strongly Agree","8","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1220,9,8,9,5,9,8,7,9,9,9,9,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Male","55 to 64","$70000 to $79999",1,"Yes","Strongly Agree","8","Strongly Agree","5","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1221,9,9,6,9,9,9,9,9,9,9,9,9,9,8,"Spanish","No","Fully employed","High school diploma or certificate","Living common law","Female","24 or younger","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1222,9,4,7,9,7,9,9,9,9,9,9,9,9,9,"English","No","Not employed","High school diploma or certificate","Living common law","Female","75 to 84","$175,000 to $199,999,",1,"Yes","Strongly Agree","4","7","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1223,8,7,4,9,9,8,9,9,9,8,7,7,7,8,"English","No","Fully employed","Master's degree","Married","Female","55 to 64","$200,000 or more",1,"Yes","8","7","4","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","8","7","7"
1224,9,8,8,7,5,3,4,7,6,9,9,9,9,5,"English","No","Fully employed","College diploma","Separated, not living with a life partner","Male","55 to 64","$40000 to $49999",0,"No","Strongly Agree","8","8","7","5","3","4","7","6","Strongly Agree","Strongly Agree","Strongly Agree"
